"Height ""","Width """,Container,Material,Liner,Finish,Quantity,Cost
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,20000,0.06721
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,50000,0.058136
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,75000,0.055965
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,100000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,400000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,800000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,1000000,0.05473
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,1000,0.2925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,2500,0.15704
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,5000,0.1144
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,7500,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,10000,0.09282
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,15000,0.085189
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,20000,0.080925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,50000,0.070538
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,75000,0.068224
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,100000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,400000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,800000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,1000000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,1000,0.2925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,2500,0.15704
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,5000,0.1144
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,7500,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,10000,0.09282
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,15000,0.085189
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,20000,0.080925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,50000,0.070538
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,75000,0.068224
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,100000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,400000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,800000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,1000000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,1000,0.2743
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,2500,0.14248
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,5000,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,7500,0.08788
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,10000,0.07995
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,15000,0.072709
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,20000,0.068835
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,50000,0.05941
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,75000,0.057473
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,100000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,400000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,800000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,1000000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,1000,0.2743
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,2500,0.14248
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,5000,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,7500,0.08788
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,10000,0.07995
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,15000,0.072709
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,20000,0.068835
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,50000,0.05941
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,75000,0.057473
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,100000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,400000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,800000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,1000000,0.055991
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,1000,0.3172
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,2500,0.18044
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,5000,0.13728
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,7500,0.12324
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,10000,0.11492
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,15000,0.107471
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,20000,0.102375
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,50000,0.091182
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,75000,0.088179
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,100000,0.084175
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,400000,0.084175
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,800000,0.084175
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,1000000,0.084175
3,4,Mylar Bag,Metal BOPP ,PET,Matte,1000,0.3172
3,4,Mylar Bag,Metal BOPP ,PET,Matte,2500,0.18044
3,4,Mylar Bag,Metal BOPP ,PET,Matte,5000,0.13728
3,4,Mylar Bag,Metal BOPP ,PET,Matte,7500,0.12324
3,4,Mylar Bag,Metal BOPP ,PET,Matte,10000,0.11492
3,4,Mylar Bag,Metal BOPP ,PET,Matte,15000,0.107471
3,4,Mylar Bag,Metal BOPP ,PET,Matte,20000,0.102375
3,4,Mylar Bag,Metal BOPP ,PET,Matte,50000,0.091182
3,4,Mylar Bag,Metal BOPP ,PET,Matte,75000,0.088179
3,4,Mylar Bag,Metal BOPP ,PET,Matte,100000,0.084175
3,4,Mylar Bag,Metal BOPP ,PET,Matte,400000,0.084175
3,4,Mylar Bag,Metal BOPP ,PET,Matte,800000,0.084175
3,4,Mylar Bag,Metal BOPP ,PET,Matte,1000000,0.084175
3,4,Mylar Bag,White BOPP,PET,Gloss,1000,0.2925
3,4,Mylar Bag,White BOPP,PET,Gloss,2500,0.16224
3,4,Mylar Bag,White BOPP,PET,Gloss,5000,0.11934
3,4,Mylar Bag,White BOPP,PET,Gloss,7500,0.105911
3,4,Mylar Bag,White BOPP,PET,Gloss,10000,0.09815
3,4,Mylar Bag,White BOPP,PET,Gloss,15000,0.09126
3,4,Mylar Bag,White BOPP,PET,Gloss,20000,0.08723
3,4,Mylar Bag,White BOPP,PET,Gloss,50000,0.076648
3,4,Mylar Bag,White BOPP,PET,Gloss,75000,0.074295
3,4,Mylar Bag,White BOPP,PET,Gloss,100000,0.072267
3,4,Mylar Bag,White BOPP,PET,Gloss,400000,0.072267
3,4,Mylar Bag,White BOPP,PET,Gloss,800000,0.072267
3,4,Mylar Bag,White BOPP,PET,Gloss,1000000,0.072267
3,4,Mylar Bag,White BOPP,PET,Matte,1000,0.2925
3,4,Mylar Bag,White BOPP,PET,Matte,2500,0.16224
3,4,Mylar Bag,White BOPP,PET,Matte,5000,0.11934
3,4,Mylar Bag,White BOPP,PET,Matte,7500,0.105911
3,4,Mylar Bag,White BOPP,PET,Matte,10000,0.09815
3,4,Mylar Bag,White BOPP,PET,Matte,15000,0.09126
3,4,Mylar Bag,White BOPP,PET,Matte,20000,0.08723
3,4,Mylar Bag,White BOPP,PET,Matte,50000,0.076648
3,4,Mylar Bag,White BOPP,PET,Matte,75000,0.074295
3,4,Mylar Bag,White BOPP,PET,Matte,100000,0.072267
3,4,Mylar Bag,White BOPP,PET,Matte,400000,0.072267
3,4,Mylar Bag,White BOPP,PET,Matte,800000,0.072267
3,4,Mylar Bag,White BOPP,PET,Matte,1000000,0.072267
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,1000,0.3549
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,2500,0.22256
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,5000,0.17862
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,7500,0.161369
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,10000,0.15405
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,15000,0.143611
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,20000,0.13663
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,50000,0.125476
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,75000,0.117676
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,100000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,400000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,800000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Gloss,1000000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,1000,0.3549
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,2500,0.22256
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,5000,0.17862
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,7500,0.161369
